image,inclusion_precision,inclusion_recall,inclusion_f1,gt_inclusion_objects,apparent_bg_strip_fp_components,apparent_bg_d_fp_components
0506tin2_11-21_crop_01.jpg,0.5945945945945946,0.8537906137184116,0.7010003705075954,8,6,0
0506tin2_12-06_crop_00.jpg,0.8343982960596379,0.578869597340229,0.6835332606324973,14,15,3
0506tin2_12-07_crop_00.jpg,0.39487726787620064,0.7020872865275142,0.505464480874317,6,11,0
0506tin2_12-07_crop_02.jpg,0.6498150431565968,0.8120184899845917,0.7219178082191782,5,8,0
0506tin2_12-17_crop_00.jpg,0.8868055555555555,0.9037508846426043,0.8951980371538731,10,24,0
0506tin2_13-05_crop_02.jpg,0.3660377358490566,0.3943089430894309,0.37964774951076324,5,1,1
0506tin2_14-04_crop_00.jpg,0.5984486873508353,0.7998405103668261,0.6846416382252559,18,21,0
0506tin2_14-05_crop_01.jpg,0.8671826625386997,0.6503366612491294,0.7432665516783866,9,24,0
0506tin2_14-08_crop_00.jpg,0.8287963266644801,0.8964171692089393,0.8612815269256987,11,29,0
0506tin2_14-08_crop_02.jpg,0.9377431906614786,0.32789115646258504,0.4858870967741936,6,4,0
0506tin2_14-09_crop_00.jpg,0.869857262804366,0.7384176764076978,0.7987663839629915,11,22,0
0506tin2_14-09_crop_01.jpg,0.967741935483871,0.30927835051546393,0.46875,1,0,0
0506tin2_14-10_crop_00.jpg,0.9143730886850153,0.5625587958607714,0.6965637740244612,14,17,2
0506tin2_14-16_crop_00.jpg,0.9544108940201302,0.6726603694852243,0.7891410769915442,28,31,0
0506tin2_14-16_crop_02.jpg,0.9846517119244392,0.3698447893569845,0.5377176015473888,7,3,0
0506tin2_14-16_crop_03.jpg,0.9212827988338192,0.9294117647058824,0.9253294289897511,2,6,0
0506tin2_15-02_crop_01.jpg,0.9267130089374379,0.6165433403805497,0.7404586209632628,9,29,0
0506tin2_15-04_crop_01.jpg,0.6987767584097859,0.7370967741935484,0.7174254317111459,8,11,0
0506tin2_15-04_crop_02.jpg,0.9817073170731707,0.755868544600939,0.8541114058355438,4,0,1
0506tin2_15-12_crop_00.jpg,0.7888218482057796,0.8059701492537313,0.797303803562831,23,28,0
0506tin2_15-12_crop_01.jpg,0.6334431630971994,0.9309927360774818,0.753921568627451,7,10,0
0506tin2_15-16_crop_00.jpg,0.8943037974683544,0.7432930036822725,0.8118356794024705,14,27,0
0506tin2_15-16_crop_02.jpg,0.855595667870036,0.8681318681318682,0.8618181818181818,2,6,0
0506tin2_15-20_crop_00.jpg,0.8230313293818797,0.6569787090233187,0.7306897199774478,19,17,0
0528_1-10_crop_00.jpg,0.8245823389021479,0.38495821727019497,0.5248765666540068,22,13,4
0528_1-12_crop_00.jpg,0.8732078853046595,0.7237281841812105,0.7914720812182742,15,18,6
0528_1-15_crop_00.jpg,0.7939209726443769,0.7332959011791128,0.762405137186223,13,17,1
0528_1-15_crop_02.jpg,0.8443051201671892,0.9450292397660819,0.8918322295805741,4,18,0
0528_1-17_crop_01.jpg,0.9912280701754386,0.23492723492723494,0.3798319327731093,7,0,0
0528_1-18_crop_01.jpg,0.7034700315457413,0.8745098039215686,0.7797202797202797,1,7,0
0528_1-19_crop_00.jpg,0.8659955257270694,0.9071947504101242,0.8861165159665789,10,28,3
0528_1-21_crop_01.jpg,0.7278911564625851,0.823076923076923,0.772563176895307,2,3,0
0528_1-21_crop_02.jpg,0.4909090909090909,0.9310344827586207,0.6428571428571428,2,0,0
0528_1-26_crop_00.jpg,0.8076923076923077,0.8930412371134021,0.8482252141982864,4,14,1
